tournament,team_name,team_tag,phase,patch,matchup_id,map_id,map_number,side,length,length_sec,winner,winner_side,ban_1,ban_2,ban_3,ban_4,ban_5,pick_1,pick_2,pick_3,pick_4,pick_5,baron_pick,jungle_pick,mid_pick,dragon_pick,sup_pick,baron_player,jungle_player,mid_player,dragon_player,sup_player,baron_kills,baron_deaths,baron_assists,baron_dmg_taken,baron_dmg_dealt,baron_total_gold,jungle_kills,jungle_deaths,jungle_assists,jungle_dmg_taken,jungle_dmg_dealt,jungle_total_gold,mid_kills,mid_deaths,mid_assists,mid_dmg_taken,mid_dmg_dealt,mid_total_gold,dragon_kills,dragon_deaths,dragon_assists,dragon_dmg_taken,dragon_dmg_dealt,dragon_total_gold,sup_kills,sup_deaths,sup_assists,sup_dmg_taken,sup_dmg_dealt,sup_total_gold
Scrim Aspira,Team Aspira,ASP,scrim,5.0a,1,1,1,blue,14:22,862,true,blue,Kassadin,Syndra,Soraka,Jax,Renekton,Ornn,Ezreal,Camille,Orianna,Kha'Zix,Camille,Kha'Zix,Orianna,Ezreal,Ornn,Pacheco,Aspira,OMP,Kimmyzoca,Pilo,3,1,5,0,0,11077,3,0,9,0,0,13402,6,1,12,0,0,12320,6,2,9,0,0,11095,2,2,17,0,0,9235
Scrim Aspira,Undefined Team,None,scrim,5.0a,1,1,1,red,14:22,862,false,blue,Hecarim,Volibear,Aurelion Sol,Gwen,Galio,Thresh,Zeri,Akali,Shen,Vi,Shen,Vi,Akali,Zeri,Thresh,UNK Top,UNK Jungle,UNK Mid,UNK AdCarry,UNK Support,0,5,3,0,0,6799,1,4,4,0,0,8995,3,4,0,0,0,9595,2,3,3,0,0,10062,0,7,5,0,0,7401
Scrim Aspira,Team Aspira,ASP,scrim,5.0a,1,2,2,blue,17:15,1035,false,red,Kassadin,Gwen,Soraka,Xin Zhao,Shen,Camille,Senna,Seraphine,Wukong,Lucian,Camille,Wukong,Lucian,Seraphine,Senna,Pacheco,Aspira,OMP,Kimmyzoca,Pilo,3,2,3,0,0,11028,2,5,8,0,0,10899,5,4,5,0,0,12219,2,1,6,0,0,10079,3,2,8,0,0,9548
Scrim Aspira,Undefined Team,None,scrim,5.0a,1,2,2,red,17:15,1035,true,red,Hecarim,Volibear,Aurelion Sol,Galio,Kha'Zix,Dr. Mundo,Xayah,Thresh,Lee Sin,Orianna,Dr. Mundo,Lee Sin,Orianna,Xayah,Thresh,UNK Top,UNK Jungle,UNK Mid,UNK AdCarry,UNK Support,3,5,3,0,0,10167,6,2,6,0,0,16467,4,1,3,0,0,13476,1,3,9,0,0,13464,1,3,8,0,0,8677
Scrim Aspira,Undefined Team,None,scrim,5.0a,1,3,3,blue,17:26,1046,true,blue,Hecarim,Lulu,Camille,,Wukong,Rakan,Yasuo,Xayah,Lillia,Fiora,Fiora,Lillia,Yasuo,Xayah,Rakan,UNK Top,UNK Jungle,UNK Mid,UNK AdCarry,UNK Support,2,5,7,137664,18866,10984,6,2,3,43659,23747,14342,5,4,3,95625,14193,11879,0,1,8,17672,15438,12607,2,0,8,17754,7777,11055
Scrim Aspira,Team Aspira,ASP,scrim,5.0a,1,3,3,red,17:26,1046,false,blue,Volibear,Aurelion Sol,,Gwen,Shen,Ornn,Ezreal,Galio,Orianna,Jayce,Ornn,Jayce,Orianna,Ezreal,Galio,Pacheco,Aspira,OMP,Kimmyzoca,Pilo,4,6,5,247156,17921,11184,6,5,3,70920,25504,13858,0,1,5,14888,21830,12143,0,1,4,10388,8571,8792,2,2,8,0,0,9890
Scrim Aspira,Team Aspira,ASP,scrim,4.3c,1,4,4,blue,12:54,774,true,blue,Volibear,Lillia,Singed,Kayn,Kai'Sa,Camille,Leona,Ezreal,Lux,Xin Zhao,Camille,Xin Zhao,Ezreal,Lux,Leona,Pacheco,Aspira,OMP,Kimmyzoca,Pilo,3,0,3,0,0,10011,5,1,6,0,0,10088,5,1,6,0,0,10337,4,1,5,0,0,9274,2,1,11,0,0,8372
Scrim Aspira,Undefined Team,None,scrim,4.3c,1,4,4,red,12:54,774,false,blue,Hecarim,Wukong,Gwen,Vi,Olaf,Ornn,Orianna,Lulu,Sivir,Lee Sin,Ornn,Lee Sin,Orianna,Sivir,Lulu,UNK Top,UNK Jungle,UNK Mid,UNK AdCarry,UNK Support,1,3,1,0,0,8133,2,5,1,0,0,9180,1,3,2,0,0,8818,0,4,1,0,0,8131,0,4,4,0,0,6337
Scrim Aspira,Undefined Team,None,scrim,5.0a,2,5,1,blue,27:20,1640,false,red,Vladimir,Diana,Syndra,Kai'Sa,Ezreal,Volibear,Zyra,Sivir,Sona,Darius,Darius,Volibear,Zyra,Sivir,Sona,UNK Top,UNK Jungle,UNK Mid,UNK AdCarry,UNK Support,4,5,1,0,0,13972,2,4,3,0,0,16484,2,4,2,0,0,20191,1,4,4,0,0,21441,0,6,3,0,0,11715
Scrim Aspira,Team Emerok,EMK,scrim,5.0a,2,5,1,red,27:20,1640,true,red,Fiora,Jax,Jayce,Yuumi,Lulu,Aurelion Sol,Sett,Lee Sin,Soraka,Xayah,Sett,Lee Sin,Aurelion Sol,Xayah,Soraka,Júpiter Moba,Emerok,Sensou Henz,Noobzinha,Riyuuka,3,4,9,0,0,16456,1,1,11,0,0,20814,12,1,7,0,0,26792,6,2,9,0,0,20191,1,1,17,0,0,13972
Scrim Aspira,Team Aspira,ASP,scrim,5.0a,3,6,1,blue,15:35,935,true,blue,Lee Sin,Aurelion Sol,Sett,Nautilus,Jax,Senna,Camille,Galio,Karma,Vi,Camille,Vi,Karma,Senna,Galio,Pacheco,Aspira,Kimmyzoca,OMP,Pilo,7,2,13,0,0,13498,3,1,14,0,0,12680,3,0,10,0,0,11550,4,0,20,0,0,11453,10,3,13,0,0,14082
Scrim Aspira,Undefined Team,None,scrim,5.0a,3,6,1,red,15:35,935,false,blue,Hecarim,Volibear,Nami,Wukong,Zeri,Gragas,Varus,Akali,Aatrox,Xin Zhao,Aatrox,Xin Zhao,Akali,Varus,Gragas,UNK Top,UNK Jungle,UNK Mid,UNK AdCarry,UNK Support,1,7,1,0,0,8819,3,7,1,0,0,10750,0,5,1,0,0,9076,1,4,2,0,0,10094,1,4,4,0,0,8674
Scrim Aspira,Undefined Team,None,scrim,4.3c,3,7,2,blue,14:06,846,true,blue,Hecarim,Volibear,Wukong,Jayce,Aatrox,Yone,Sona,Lucian,Evelynn,Renekton,Renekton,Evelynn,Yone,Lucian,Sona,UNK Top,UNK Jungle,UNK Mid,UNK AdCarry,UNK Support,3,0,2,159742,13098,11866,5,0,7,5011,15720,12175,3,2,6,36153,17010,10190,9,1,7,28520,34760,13306,1,1,18,18080,9678,9364
Scrim Aspira,Team Aspira,ASP,scrim,4.3c,3,7,2,red,14:06,846,false,blue,Lee Sin,Yuumi,Aurelion Sol,Jax,Fiora,Camille,Galio,Ezreal,Karma,Shen,Camille,Shen,Karma,Ezreal,Galio,Pacheco,Aspira,Kimmyzoca,OMP,Pilo,1,3,1,90112,12514,9027,0,4,3,96175,9504,8788,2,5,1,77292,10097,8261,1,5,3,87948,18778,8637,0,4,4,0,0,7342
Scrim Aspira,Team Aspira,ASP,scrim,5.0a,4,8,1,blue,14:12,852,true,blue,Fiora,Jayce,Jax,Zyra,Renekton,Volibear,Camille,Varus,Sett,Seraphine,Camille,Volibear,Seraphine,Varus,Sett,Pacheco,Aspira,Kimmyzoca,OMP,Pilo,1,0,9,17080,14824,9259,3,0,13,12615,13125,11015,4,0,11,5797,10780,10375,12,1,8,11352,23574,13995,2,1,18,0,0,8850
Scrim Aspira,Time Shiso,SHI,scrim,5.0a,4,8,1,red,14:12,852,false,blue,Hecarim,Thresh,Aurelion Sol,Syndra,Soraka,Zeri,Yuumi,Wukong,Orianna,Darius,Darius,Wukong,Orianna,Zeri,Yuumi,Shiso,Theyser,Wally,Oliver,Lunnarys,0,5,0,130392,11921,9588,0,7,2,144384,6484,7189,0,4,1,57300,14119,8936,1,3,1,68352,22940,9719,1,3,1,17856,5448,8150
Scrim Aspira,Team Aspira,ASP,scrim,5.0a,5,9,1,blue,18:39,1119,true,blue,Evelynn,Aurelion Sol,Vladimir,Xayah,Varus,Volibear,Ezreal,Karma,Tryndamere,Alistar,Tryndamere,Volibear,Karma,Ezreal,Alistar,Pacheco,Aspira,Flyn,OMP,Pilo,2,2,3,50157,14628,14595,6,0,5,16149,23727,14215,1,1,7,15288,15468,12387,6,0,6,11024,37797,14477,1,0,8,16839,0,9243
Scrim Aspira,Team Shumas,SHU,scrim,5.0a,5,9,1,red,18:39,1119,false,blue,Hecarim,Ornn,,Nautilus,Jax,Morgana,Jayce,Shen,Camille,Sona,Camille,Shen,Jayce,Morgana,Sona,Darkzin,Orochi,Shumas,Yutails,Quartzo,0,4,1,143825,15682,11545,1,3,1,67840,9938,11669,2,4,1,90575,23254,14308,0,2,2,42588,15618,10287,0,3,1,67840,4875,8141
Scrim Aspira,Team Shumas,SHU,scrim,5.0a,5,10,2,blue,20:09,1209,true,blue,Volibear,Hecarim,Ezreal,Galio,Camille,Karma,Kha'Zix,Zeri,Braum,Sett,Sett,Kha'Zix,Karma,Zeri,Braum,Darkzin,Yutails,Shumas,Orochi,Quartzo,7,4,8,0,0,15416,6,2,9,0,0,14764,5,4,14,0,0,13498,10,3,11,0,0,168688,0,2,23,0,0,10276
Scrim Aspira,Team Aspira,ASP,scrim,5.0a,5,10,2,red,20:09,1209,false,blue,Evelynn,Aurelion Sol,Vladimir,Dr. Mundo,Orianna,Lux,Sivir,Vi,Ornn,Zyra,Ornn,Vi,Lux,Sivir,Zyra,Pacheco,Aspira,Flyn,OMP,Pilo,1,4,5,0,0,11699,5,8,6,0,0,14071,3,5,7,0,0,13886,4,5,10,0,0,13776,2,6,11,0,0,10145
Scrim Aspira,Team Aspira,ASP,scrim,5.0a,5,11,3,blue,17:16,1036,true,blue,Evelynn,Vladimir,Aurelion Sol,Sett,Kha'Zix,Ornn,Karma,Zeri,Olaf,Xin Zhao,Olaf,Xin Zhao,Karma,Zeri,Ornn,Pacheco,Aspira,Flyn,OMP,Pilo,5,4,2,0,0,12557,7,4,14,0,0,14927,2,2,16,0,0,12637,9,3,7,0,0,14593,2,3,17,0,0,10207
Scrim Aspira,Team Shumas,SHU,scrim,5.0a,5,11,3,red,17:16,1036,false,blue,Volibear,Hecarim,Ezreal,Shen,Camille,Braum,Orianna,Lucian,Vi,Yone,Yone,Vi,Orianna,Lucian,Braum,Darkzin,Yutails,Shumas,Orochi,Quartzo,9,4,2,0,0,14290,1,7,6,0,0,10437,2,3,9,0,0,12177,3,6,2,0,0,12495,1,5,8,0,0,7661
Scrim Aspira,Time Shiso,SHI,scrim,5.0a,6,12,1,blue,20:36,1236,false,red,Aurelion Sol,Diana,Vladimir,Soraka,Lulu,Volibear,Orianna,Ezreal,Irelia,Leona,Irelia,Volibear,Orianna,Ezreal,Leona,Shiso,Theyser,Wally,Oliver,Lunnarys,3,4,2,125300,27157,16297,0,5,4,190080,15236,12182,2,7,1,159232,17499,11653,3,3,1,66944,26614,15682,0,5,3,148608,5664,9504
Scrim Aspira,Team Emerok,EMK,scrim,5.0a,6,12,1,red,20:36,1236,true,red,Fiora,Jax,Jayce,Yuumi,Renekton,Hecarim,Syndra,Sivir,Nami,Garen,Garen,Hecarim,Syndra,Sivir,Nami,Júpiter Moba,Emerok,Sensou Henz,Noobzinha,Leite,5,4,2,114350,13559,12956,3,1,14,66552,23717,15578,11,2,8,38916,46221,17390,3,1,9,66552,24009,15169,2,0,17,10403,10647,11943
Scrim Aspira,Team Emerok,EMK,scrim,5.0a,6,13,2,blue,18:54,1134,true,blue,Fiora,Jax,Jayce,Yuumi,Renekton,Hecarim,Kai'Sa,Nami,Xayah,Garen,Garen,Hecarim,Kai'Sa,Xayah,Nami,Júpiter Moba,Emerok,Sensou Henz,Noobzinha,Riyuuka,5,4,6,21130,10881,12332,2,1,19,23928,15939,15586,16,3,6,17016,57090,19925,0,2,7,12984,13446,11888,1,1,18,10374,9842,10900
Scrim Aspira,Time Shiso,SHI,scrim,5.0a,6,13,2,red,18:54,1134,false,blue,Aurelion Sol,Vladimir,Diana,Syndra,Vex,Volibear,Ezreal,Twisted Fate,Karma,Darius,Darius,Volibear,Twisted Fate,Ezreal,Karma,Shiso,Theyser,Wally,Oliver,Lunnarys,1,3,2,31192,19751,12895,3,6,5,30107,11543,10804,1,5,4,12714,10950,10979,4,5,5,17334,27306,12279,2,5,6,15846,15881,10480
Scrim Aspira,Team Aspira,ASP,scrim,5.0a,7,14,1,blue,17:11,1031,false,red,Yasuo,Vladimir,Aurelion Sol,Jax,Renekton,Volibear,Camille,Orianna,Varus,Nautilus,Camille,Volibear,Orianna,Varus,Nautilus,Pacheco,Aspira,Kimmyzoca,OMP,Pilo,2,6,1,0,0,10510,7,3,6,0,0,14147,2,3,4,0,0,11304,5,4,5,0,0,11610,0,5,11,0,0,8636
Scrim Aspira,Team Turzin,TUR,scrim,5.0a,7,14,1,red,17:11,1031,true,red,Ornn,Hecarim,Ezreal,Galio,Zeri,Darius,Karma,Diana,Sivir,Gwen,Darius,Diana,Gwen,Sivir,Karma,Turzin,Cake,UNK Support,Bruno Henning,Hanabi,4,5,6,0,0,11709,7,2,3,0,0,16798,4,3,8,0,0,14212,6,3,9,0,0,12864,0,3,16,0,0,9972
